t,eta
99.8,-0.4603
99.9,-0.57714
100,-0.70949
100.1,-0.84791
100.2,-0.96254
100.3,-1.0632
100.4,-1.1404
100.5,-1.1703
100.6,-1.1521
100.7,-1.1195
100.8,-1.0556
100.9,-0.98207
101,-0.88507
101.1,-0.78157
101.2,-0.69383
101.3,-0.61102
101.4,-0.5317
101.5,-0.45234
101.6,-0.37134
101.7,-0.28738
101.8,-0.20953
101.9,-0.14028
102,-0.078491
102.1,-0.034639
102.2,-0.0024512
102.3,0.036187
102.4,0.093998
102.5,0.15693
102.6,0.20388
102.7,0.2441
102.8,0.26214
102.9,0.2818
103,0.31584
103.1,0.34709
103.2,0.34896
103.3,0.34188
103.4,0.33498
103.5,0.31172
103.6,0.29518
103.7,0.30519
103.8,0.34229
103.9,0.39023
104,0.44025
104.1,0.46818
104.2,0.44975
104.3,0.41692
104.4,0.40306
104.5,0.40514
104.6,0.4185
104.7,0.44161
104.8,0.45042
104.9,0.45329
105,0.45364
105.1,0.4617
105.2,0.4925
105.3,0.52934
105.4,0.57326
105.5,0.62928
105.6,0.67125
105.7,0.68718
105.8,0.67923
105.9,0.6494
106,0.61076
106.1,0.57433
106.2,0.55832
106.3,0.52539
106.4,0.46692
106.5,0.39984
106.6,0.30983
106.7,0.22546
106.8,0.13917
106.9,0.031896
107,-0.057873
107.1,-0.12989
107.2,-0.19178
107.3,-0.26234
107.4,-0.35374
107.5,-0.44058
107.6,-0.53364
107.7,-0.63342
107.8,-0.73073
107.9,-0.80827
108,-0.86277
108.1,-0.90481
108.2,-0.92933
108.3,-0.93462
108.4,-0.9328
108.5,-0.92378
108.6,-0.89981
108.7,-0.87541
108.8,-0.84202
108.9,-0.79571
109,-0.73102
109.1,-0.66723
109.2,-0.59627
109.3,-0.51762
109.4,-0.4422
109.5,-0.36992
109.6,-0.29868
109.7,-0.23811
109.8,-0.17038
109.9,-0.097338
110,-0.034404
110.1,0.0091766
110.2,0.040557
110.3,0.081748
110.4,0.13137
110.5,0.16952
110.6,0.21654
110.7,0.28517
110.8,0.38182
110.9,0.50556
111,0.65297
111.1,0.78915
111.2,0.90209
111.3,0.98997
111.4,1.0521
111.5,1.0767
